character	token	ferquency(per million)	total coverage rate(%)
肝	31440	16.56199 	98.75279 
敛	31390	16.53565 	98.75444 
剂	31371	16.52564 	98.75610 
疤	31337	16.50773 	98.75775 
渔	31185	16.42766 	98.75939 
嗔	31168	16.41871 	98.76103 
沮	31095	16.38025 	98.76267 
廖	31067	16.36550 	98.76431 
虏	30976	16.31756 	98.76594 
皓	30879	16.26647 	98.76756 
勋	30855	16.25382 	98.76919 
恕	30848	16.25014 	98.77081 
虐	30741	16.19377 	98.77243 
虞	30560	16.09842 	98.77404 
综	30488	16.06049 	98.77565 
瘾	30459	16.04522 	98.77725 
驴	30458	16.04469 	98.77886 
晒	30437	16.03363 	98.78046 
卦	30403	16.01572 	98.78206 
迦	30382	16.00466 	98.78366 
陀	30349	15.98727 	98.78526 
窥	30314	15.96883 	98.78686 
堕	30285	15.95356 	98.78846 
哆	30257	15.93881 	98.79005 
葡	30236	15.92775 	98.79164 
帖	30180	15.89825 	98.79323 
垫	30164	15.88982 	98.79482 
屡	30025	15.81659 	98.79640 
鹅	29947	15.77551 	98.79798 
蛛	29896	15.74864 	98.79955 
盲	29895	15.74811 	98.80113 
碟	29736	15.66435 	98.80270 
狞	29726	15.65909 	98.80426 
囚	29642	15.61484 	98.80582 
诊	29637	15.61220 	98.80738 
揽	29599	15.59219 	98.80894 
裴	29595	15.59008 	98.81050 
捞	29577	15.58060 	98.81206 
吏	29539	15.56058 	98.81362 
铮	29527	15.55426 	98.81517 
萄	29505	15.54267 	98.81673 
盏	29500	15.54003 	98.81828 
霆	29470	15.52423 	98.81983 
喔	29429	15.50263 	98.82138 
贷	29412	15.49368 	98.82293 
勿	29378	15.47577 	98.82448 
吭	29375	15.47419 	98.82603 
淘	29357	15.46471 	98.82757 
辟	29251	15.40887 	98.82912 
蔑	29247	15.40676 	98.83066 
淹	29158	15.35988 	98.83219 
麒	29156	15.35882 	98.83373 
喽	29096	15.32722 	98.83526 
栗	29059	15.30772 	98.83679 
绷	29020	15.28718 	98.83832 
惚	28986	15.26927 	98.83985 
桓	28953	15.25189 	98.84137 
坊	28892	15.21975 	98.84289 
桩	28892	15.21975 	98.84442 
嗽	28817	15.18024 	98.84593 
履	28690	15.11334 	98.84745 
璐	28683	15.10965 	98.84896 
菩	28652	15.09332 	98.85047 
巢	28649	15.09174 	98.85197 
畜	28647	15.09069 	98.85348 
兀	28642	15.08806 	98.85499 
樊	28633	15.08332 	98.85650 
锡	28576	15.05329 	98.85801 
棚	28567	15.04855 	98.85951 
仕	28553	15.04117 	98.86102 
倏	28537	15.03274 	98.86252 
芹	28424	14.97322 	98.86402 
僻	28410	14.96584 	98.86551 
絮	28392	14.95636 	98.86701 
杏	28315	14.91580 	98.86850 
浆	28279	14.89684 	98.86999 
瘫	28249	14.88103 	98.87148 
啧	28249	14.88103 	98.87297 
磁	28220	14.86576 	98.87445 
冈	28197	14.85364 	98.87594 
逮	28151	14.82941 	98.87742 
搓	28103	14.80412 	98.87890 
赠	28101	14.80307 	98.88038 
胶	28063	14.78305 	98.88186 
脊	28041	14.77146 	98.88334 
噩	27969	14.73353 	98.88481 
绰	27937	14.71668 	98.88628 
呕	27879	14.68612 	98.88775 
嚼	27876	14.68454 	98.88922 
谐	27747	14.61659 	98.89068 
歼	27594	14.53599 	98.89213 
揣	27568	14.52229 	98.89359 
殖	27563	14.51966 	98.89504 
拧	27504	14.48858 	98.89649 
伺	27405	14.43643 	98.89793 
霖	27387	14.42695 	98.89937 
驼	27386	14.42642 	98.90082 
襄	27380	14.42326 	98.90226 
衔	27315	14.38902 	98.90370 
惕	27307	14.38480 	98.90514 
掷	27287	14.37427 	98.90657 
卸	27285	14.37322 	98.90801 
炽	27194	14.32528 	98.90944 
敖	27108	14.27997 	98.91087 
惭	27081	14.26575 	98.91230 
框	27076	14.26312 	98.91372 
捆	27010	14.22835 	98.91515 
眩	26994	14.21992 	98.91657 
蝉	26987	14.21623 	98.91799 
谜	26947	14.19516 	98.91941 
炫	26933	14.18779 	98.92083 
塘	26894	14.16724 	98.92225 
阱	26888	14.16408 	98.92366 
膜	26833	14.13511 	98.92508 
亨	26827	14.13195 	98.92649 
奕	26802	14.11878 	98.92790 
蚂	26697	14.06347 	98.92931 
猩	26668	14.04819 	98.93071 
滨	26667	14.04766 	98.93212 
沁	26604	14.01448 	98.93352 
跋	26559	13.99077 	98.93492 
藩	26539	13.98024 	98.93631 
舔	26424	13.91966 	98.93771 
捐	26418	13.91650 	98.93910 
歧	26398	13.90596 	98.94049 
隋	26353	13.88226 	98.94188 
蹭	26351	13.88120 	98.94327 
甄	26342	13.87646 	98.94465 
蜡	26302	13.85539 	98.94604 
嗤	26283	13.84538 	98.94742 
缸	26248	13.82694 	98.94881 
嬉	26210	13.80693 	98.95019 
哮	26173	13.78743 	98.95157 
熄	26172	13.78691 	98.95294 
窍	26141	13.77058 	98.95432 
俞	26139	13.76952 	98.95570 
豁	26107	13.75267 	98.95707 
垒	26075	13.73581 	98.95845 
掘	26017	13.70526 	98.95982 
琦	26016	13.70473 	98.96119 
屎	25988	13.68998 	98.96256 
乍	25921	13.65469 	98.96392 
孽	25919	13.65363 	98.96529 
毯	25831	13.60728 	98.96665 
弧	25808	13.59516 	98.96801 
槐	25776	13.57830 	98.96937 
铠	25757	13.56829 	98.97072 
挟	25752	13.56566 	98.97208 
襟	25730	13.55407 	98.97343 
梨	25679	13.52721 	98.97479 
嗅	25646	13.50982 	98.97614 
祁	25566	13.46768 	98.97748 
纲	25530	13.44871 	98.97883 
渠	25514	13.44029 	98.98017 
矢	25495	13.43028 	98.98152 
捅	25436	13.39920 	98.98286 
扛	25430	13.39604 	98.98420 
朽	25425	13.39340 	98.98554 
忖	25374	13.36654 	98.98687 
匈	25364	13.36127 	98.98821 
扒	25334	13.34547 	98.98954 
雍	25297	13.32597 	98.99088 
莺	25291	13.32281 	98.99221 
侮	25279	13.31649 	98.99354 
闺	25255	13.30385 	98.99487 
霓	25232	13.29173 	98.99620 
稽	25200	13.27488 	98.99753 
斋	25200	13.27488 	98.99885 
夭	25128	13.23695 	99.00018 
沦	25113	13.22905 	99.00150 
揍	25073	13.20798 	99.00282 
瞟	25058	13.20007 	99.00414 
苟	25037	13.18901 	99.00546 
琉	24975	13.15635 	99.00678 
漪	24948	13.14213 	99.00809 
暑	24941	13.13844 	99.00940 
窟	24923	13.12896 	99.01072 
钓	24913	13.12369 	99.01203 
鳞	24864	13.09788 	99.01334 
瓷	24855	13.09314 	99.01465 
萱	24846	13.08840 	99.01596 
株	24834	13.08208 	99.01727 
倭	24818	13.07365 	99.01857 
鞘	24815	13.07207 	99.01988 
沛	24758	13.04204 	99.02118 
噜	24633	12.97619 	99.02248 
绞	24554	12.93458 	99.02378 
颓	24497	12.90455 	99.02507 
睿	24474	12.89243 	99.02636 
噗	24442	12.87558 	99.02764 
唔	24276	12.78813 	99.02892 
幢	24268	12.78392 	99.03020 
喀	24238	12.76811 	99.03148 
诅	24236	12.76706 	99.03275 
涕	24195	12.74546 	99.03403 
拣	24189	12.74230 	99.03530 
谣	24186	12.74072 	99.03658 
叽	24178	12.73651 	99.03785 
葱	24137	12.71491 	99.03912 
拭	24060	12.67435 	99.04039 
婢	24051	12.66961 	99.04166 
铸	24048	12.66803 	99.04292 
绮	23912	12.59638 	99.04418 
剿	23891	12.58532 	99.04544 
胤	23866	12.57215 	99.04670 
秩	23852	12.56478 	99.04795 
畔	23833	12.55477 	99.04921 
粥	23792	12.53317 	99.05046 
奎	23789	12.53159 	99.05172 
绸	23778	12.52579 	99.05297 
茨	23761	12.51684 	99.05422 
熏	23690	12.47944 	99.05547 
蹬	23651	12.45889 	99.05671 
诏	23643	12.45468 	99.05796 
岔	23623	12.44414 	99.05920 
叭	23566	12.41412 	99.06045 
咆	23494	12.37619 	99.06168 
滥	23420	12.33721 	99.06292 
梧	23401	12.32720 	99.06415 
垮	23378	12.31508 	99.06538 
澳	23261	12.25345 	99.06661 
浙	23244	12.24449 	99.06783 
甸	23242	12.24344 	99.06906 
绯	23150	12.19498 	99.07027 
诛	23141	12.19024 	99.07149 
鲍	23115	12.17654 	99.07271 
刁	23103	12.17022 	99.07393 
厥	23082	12.15916 	99.07514 
蚊	23018	12.12544 	99.07636 
鞠	23015	12.12386 	99.07757 
歆	22876	12.05064 	99.07877 
拙	22860	12.04221 	99.07998 
茗	22789	12.00481 	99.08118 
眷	22751	11.98479 	99.08238 
戮	22742	11.98005 	99.08358 
唬	22716	11.96635 	99.08477 
骏	22698	11.95687 	99.08597 
扳	22636	11.92421 	99.08716 
踹	22631	11.92158 	99.08835 
漓	22606	11.90841 	99.08954 
蝇	22560	11.88418 	99.09073 
擂	22548	11.87785 	99.09192 
涡	22478	11.84098 	99.09310 
沌	22474	11.83887 	99.09429 
凸	22455	11.82886 	99.09547 
蚩	22424	11.81253 	99.09665 
酿	22424	11.81253 	99.09783 
唾	22408	11.80410 	99.09901 
琐	22361	11.77935 	99.10019 
犀	22356	11.77671 	99.10137 
澄	22349	11.77302 	99.10255 
哉	22334	11.76512 	99.10372 
猾	22221	11.70560 	99.10489 
煎	22180	11.68400 	99.10606 
窒	22175	11.68137 	99.10723 
虾	22165	11.67610 	99.10840 
蝠	22099	11.64133 	99.10956 
钞	22089	11.63606 	99.11073 
瓣	22056	11.61868 	99.11189 
唧	22052	11.61657 	99.11305 
觑	22005	11.59181 	99.11421 
哽	21976	11.57654 	99.11537 
娥	21944	11.55968 	99.11652 
婿	21914	11.54388 	99.11768 
讪	21892	11.53229 	99.11883 
耕	21786	11.47645 	99.11998 
葫	21733	11.44853 	99.12112 
暧	21715	11.43905 	99.12227 
浇	21700	11.43114 	99.12341 
嗨	21687	11.42430 	99.12455 
诵	21654	11.40691 	99.12569 
疫	21652	11.40586 	99.12683 
兢	21643	11.40112 	99.12797 
箫	21626	11.39216 	99.12911 
颅	21616	11.38689 	99.13025 
啼	21533	11.34317 	99.13138 
绅	21513	11.33264 	99.13252 
杉	21508	11.33000 	99.13365 
嗜	21476	11.31315 	99.13478 
券	21437	11.29260 	99.13591 
遁	21435	11.29155 	99.13704 
炯	21405	11.27574 	99.13817 
霎	21405	11.27574 	99.13930 
讥	21392	11.26890 	99.14042 
迭	21389	11.26732 	99.14155 
彷	21360	11.25204 	99.14267 
觅	21336	11.23940 	99.14380 
娴	21333	11.23782 	99.14492 
抿	21329	11.23571 	99.14605 
剔	21278	11.20884 	99.14717 
稻	21277	11.20832 	99.14829 
敷	21263	11.20094 	99.14941 
泻	21251	11.19462 	99.15053 
怠	21247	11.19251 	99.15165 
龚	21246	11.19199 	99.15277 
绒	21218	11.17724 	99.15388 
讳	21199	11.16723 	99.15500 
勺	21195	11.16512 	99.15612 
函	21187	11.16091 	99.15723 
喳	21141	11.13667 	99.15835 
颂	21103	11.11666 	99.15946 
搀	21047	11.08716 	99.16057 
撩	21011	11.06819 	99.16167 
擎	20931	11.02605 	99.16278 
巍	20904	11.01183 	99.16388 
脯	20878	10.99813 	99.16498 
镶	20858	10.98759 	99.16608 
寥	20857	10.98707 	99.16717 
漾	20836	10.97601 	99.16827 
缴	20827	10.97126 	99.16937 
藉	20781	10.94703 	99.17046 
弊	20759	10.93544 	99.17156 
逞	20757	10.93439 	99.17265 
膏	20747	10.92912 	99.17374 
戳	20671	10.88909 	99.17483 
呛	20665	10.88593 	99.17592 
凹	20644	10.87486 	99.17701 
叩	20625	10.86485 	99.17810 
禽	20600	10.85169 	99.17918 
懊	20550	10.82535 	99.18026 
懈	20521	10.81007 	99.18134 
蛟	20489	10.79321 	99.18242 
亢	20459	10.77741 	99.18350 
呸	20447	10.77109 	99.18458 
芊	20334	10.71156 	99.18565 
慑	20266	10.67574 	99.18672 
跺	20222	10.65256 	99.18778 
跄	20209	10.64571 	99.18885 
蚀	20185	10.63307 	99.18991 
栖	20169	10.62464 	99.19097 
蔚	20152	10.61569 	99.19203 
铲	20146	10.61253 	99.19310 
坪	20132	10.60515 	99.19416 
筝	20129	10.60357 	99.19522 
顷	20103	10.58988 	99.19628 
腮	20075	10.57513 	99.19733 
踉	20003	10.53720 	99.19839 
狰	19977	10.52350 	99.19944 
踱	19897	10.48136 	99.20049 
嗖	19887	10.47609 	99.20153 
苑	19838	10.45028 	99.20258 
秉	19831	10.44659 	99.20362 
猿	19821	10.44132 	99.20467 
堤	19816	10.43869 	99.20571 
佟	19785	10.42236 	99.20675 
悯	19771	10.41498 	99.20780 
唠	19757	10.40761 	99.20884 
憨	19728	10.39233 	99.20988 
肘	19724	10.39023 	99.21092 
拇	19655	10.35388 	99.21195 
僚	19624	10.33755 	99.21298 
霹	19613	10.33175 	99.21402 
婕	19606	10.32807 	99.21505 
禹	19590	10.31964 	99.21608 
啃	19567	10.30752 	99.21711 
匀	19505	10.27486 	99.21814 
晖	19478	10.26064 	99.21917 
怅	19456	10.24905 	99.22019 
聋	19397	10.21797 	99.22121 
拯	19388	10.21323 	99.22223 
忿	19358	10.19742 	99.22325 
韧	19327	10.18109 	99.22427 
邹	19321	10.17793 	99.22529 
梢	19244	10.13737 	99.22630 
肋	19237	10.13368 	99.22732 
窘	19223	10.12631 	99.22833 
嵌	19221	10.12525 	99.22934 
婪	19194	10.11103 	99.23035 
辖	19178	10.10260 	99.23136 
浦	19174	10.10050 	99.23237 
炭	19147	10.08627 	99.23338 
曦	19125	10.07468 	99.23439 
簇	19096	10.05941 	99.23540 
螺	19077	10.04940 	99.23640 
酱	19063	10.04202 	99.23741 
屯	19049	10.03465 	99.23841 
悴	19029	10.02411 	99.23941 
匡	18999	10.00831 	99.24041 
冀	18988	10.00251 	99.24141 
橙	18984	10.00041 	99.24241 
倔	18984	10.00041 	99.24341 
陕	18975	9.99567 	99.24441 
筱	18974	9.99514 	99.24541 
叱	18954	9.98460 	99.24641 
髓	18935	9.97460 	99.24741 
淳	18919	9.96617 	99.24840 
矜	18885	9.94826 	99.24940 
詹	18852	9.93087 	99.25039 
菱	18846	9.92771 	99.25138 
芷	18836	9.92244 	99.25238 
惺	18833	9.92086 	99.25337 
浊	18800	9.90348 	99.25436 
囔	18778	9.89189 	99.25535 
朔	18750	9.87714 	99.25634 
憔	18746	9.87503 	99.25732 
睫	18742	9.87293 	99.25831 
睬	18741	9.87240 	99.25930 
鸽	18712	9.85712 	99.26028 
臀	18687	9.84395 	99.26127 
吨	18670	9.83500 	99.26225 
笙	18633	9.81551 	99.26323 
戟	18632	9.81498 	99.26421 
沼	18625	9.81129 	99.26520 
谍	18611	9.80392 	99.26618 
昕	18598	9.79707 	99.26716 
蛊	18584	9.78970 	99.26814 
煜	18582	9.78864 	99.26911 
祀	18571	9.78285 	99.27009 
罡	18553	9.77336 	99.27107 
伶	18546	9.76968 	99.27205 
荫	18542	9.76757 	99.27302 
酥	18511	9.75124 	99.27400 
懦	18464	9.72648 	99.27497 
厄	18380	9.68223 	99.27594 
峨	18374	9.67907 	99.27691 
轴	18321	9.65115 	99.27787 
伽	18295	9.63746 	99.27884 
雳	18289	9.63429 	99.27980 
卵	18272	9.62534 	99.28076 
捶	18237	9.60690 	99.28172 
檐	18211	9.59321 	99.28268 
棘	18152	9.56213 	99.28364 
嗣	18110	9.54000 	99.28459 
钗	18040	9.50313 	99.28554 
袜	18039	9.50260 	99.28649 
妩	18020	9.49259 	99.28744 
炕	18018	9.49154 	99.28839 
偎	18007	9.48574 	99.28934 
窦	17985	9.47415 	99.29029 
蝎	17947	9.45414 	99.29123 
溶	17932	9.44623 	99.29218 
幺	17926	9.44307 	99.29312 
膨	17894	9.42622 	99.29406 
峙	17869	9.41305 	99.29501 
缉	17853	9.40462 	99.29595 
徊	17842	9.39882 	99.29689 
呗	17817	9.38565 	99.29782 
衅	17813	9.38355 	99.29876 
砂	17805	9.37933 	99.29970 
舵	17755	9.35299 	99.30064 
昼	17728	9.33877 	99.30157 
迸	17662	9.30400 	99.30250 
斟	17602	9.27240 	99.30343 
舆	17587	9.26449 	99.30435 
椒	17541	9.24026 	99.30528 
靓	17479	9.20760 	99.30620 
旬	17475	9.20550 	99.30712 
厘	17464	9.19970 	99.30804 
窑	17450	9.19233 	99.30896 
萎	17426	9.17968 	99.30988 
涟	17410	9.17125 	99.31079 
疙	17365	9.14755 	99.31171 
芠	17349	9.13912 	99.31262 
瘩	17347	9.13807 	99.31354 
梵	17305	9.11594 	99.31445 
靴	17283	9.10435 	99.31536 
侥	17262	9.09329 	99.31627 
匿	17242	9.08276 	99.31718 
挚	17228	9.07538 	99.31808 
镯	17202	9.06168 	99.31899 
兑	17197	9.05905 	99.31990 
尧	17147	9.03271 	99.32080 
徘	17122	9.01954 	99.32170 
芽	17121	9.01901 	99.32260 
狙	17116	9.01638 	99.32350 
闵	17114	9.01533 	99.32441 
辫	17059	8.98635 	99.32530 
瀑	17047	8.98003 	99.32620 
嗷	17032	8.97213 	99.32710 
庐	17027	8.96950 	99.32800 
芯	17023	8.96739 	99.32889 
禾	16993	8.95159 	99.32979 
澎	16976	8.94263 	99.33068 
邢	16955	8.93157 	99.33158 
绊	16942	8.92472 	99.33247 
蜘	16934	8.92051 	99.33336 
憎	16932	8.91945 	99.33425 
靡	16931	8.91893 	99.33514 
褚	16900	8.90260 	99.33603 
湛	16846	8.87415 	99.33692 
蒲	16804	8.85203 	99.33781 
嚓	16791	8.84518 	99.33869 
珂	16769	8.83359 	99.33957 
崽	16768	8.83306 	99.34046 
贬	16755	8.82621 	99.34134 
惮	16732	8.81410 	99.34222 
婵	16719	8.80725 	99.34310 
嗒	16686	8.78987 	99.34398 
悸	16672	8.78249 	99.34486 
晦	16662	8.77722 	99.34574 
涅	16639	8.76511 	99.34661 
恬	16632	8.76142 	99.34749 
慷	16623	8.75668 	99.34837 
穹	16599	8.74404 	99.34924 
渣	16543	8.71454 	99.35011 
屉	16514	8.69926 	99.35098 
缭	16457	8.66923 	99.35185 
绢	16444	8.66238 	99.35272 
嬴	16436	8.65817 	99.35358 
袱	16411	8.64500 	99.35445 
黝	16397	8.63763 	99.35531 
袅	16381	8.62920 	99.35617 
淇	16379	8.62814 	99.35703 
茄	16373	8.62498 	99.35790 
寅	16337	8.60602 	99.35876 
赦	16333	8.60391 	99.35962 
悻	16292	8.58231 	99.36048 
祟	16287	8.57968 	99.36133 
榻	16283	8.57757 	99.36219 
蛙	16283	8.57757 	99.36305 
苇	16237	8.55334 	99.36391 
嵩	16210	8.53912 	99.36476 
茉	16199	8.53332 	99.36561 
唰	16179	8.52279 	99.36646 
咏	16144	8.50435 	99.36732 
凿	16089	8.47538 	99.36816 
粪	16072	8.46642 	99.36901 
噪	16010	8.43376 	99.36985 
菌	16008	8.43271 	99.37070 
蝙	16004	8.43060 	99.37154 
庶	15986	8.42112 	99.37238 
邸	15950	8.40215 	99.37322 
晟	15923	8.38793 	99.37406 
禧	15854	8.35158 	99.37490 
攒	15835	8.34157 	99.37573 
旱	15826	8.33683 	99.37656 
虔	15826	8.33683 	99.37740 
琛	15726	8.28416 	99.37823 
榴	15726	8.28416 	99.37905 
漱	15713	8.27731 	99.37988 
忑	15706	8.27362 	99.38071 
匣	15699	8.26993 	99.38154 
忐	15677	8.25834 	99.38236 
谬	15676	8.25782 	99.38319 
蟒	15665	8.25202 	99.38401 
棱	15662	8.25044 	99.38484 
钝	15645	8.24149 	99.38566 
悚	15579	8.20672 	99.38648 
廓	15567	8.20040 	99.38730 
惘	15566	8.19987 	99.38812 
漉	15539	8.18565 	99.38894 
蟹	15529	8.18038 	99.38976 
佬	15514	8.17248 	99.39058 
曳	15503	8.16668 	99.39139 
赎	15491	8.16036 	99.39221 
壤	15483	8.15615 	99.39302 
忡	15459	8.14350 	99.39384 
倡	15456	8.14192 	99.39465 
冶	15455	8.14140 	99.39547 
姝	15426	8.12612 	99.39628 
筠	15378	8.10084 	99.39709 
竿	15347	8.08451 	99.39790 
蜷	15341	8.08134 	99.39871 
癌	15319	8.06976 	99.39951 
嘈	15262	8.03973 	99.40032 
蚕	15234	8.02498 	99.40112 
剖	15232	8.02393 	99.40192 
颁	15165	7.98863 	99.40272 
缀	15121	7.96545 	99.40352 
汀	15090	7.94912 	99.40431 
谕	15061	7.93385 	99.40511 
牡	15032	7.91857 	99.40590 
斐	15019	7.91172 	99.40669 
懵	15002	7.90277 	99.40748 
皙	14920	7.85957 	99.40827 
缪	14901	7.84956 	99.40905 
蔷	14896	7.84693 	99.40984 
诫	14892	7.84482 	99.41062 
恤	14830	7.81216 	99.41140 
咄	14825	7.80953 	99.41218 
馒	14818	7.80584 	99.41296 
矫	14800	7.79636 	99.41374 
痞	14766	7.77845 	99.41452 
橘	14755	7.77265 	99.41530 
氧	14746	7.76791 	99.41607 
贿	14729	7.75895 	99.41685 
肮	14717	7.75263 	99.41763 
瑾	14682	7.73420 	99.41840 
璧	14608	7.69521 	99.41917 
烙	14608	7.69521 	99.41994 
攘	14580	7.68046 	99.42071 
攥	14543	7.66097 	99.42147 
汰	14511	7.64412 	99.42224 
溺	14495	7.63569 	99.42300 
铅	14443	7.60830 	99.42376 
咔	14414	7.59302 	99.42452 
芭	14409	7.59039 	99.42528 
戎	14391	7.58090 	99.42604 
褐	14390	7.58038 	99.42680 
巩	14361	7.56510 	99.42755 
吆	14326	7.54666 	99.42831 
彰	14222	7.49188 	99.42906 
漩	14215	7.48819 	99.42980 
聆	14208	7.48450 	99.43055 
蒜	14174	7.46659 	99.43130 
棕	14156	7.45711 	99.43205 
鹃	14136	7.44657 	99.43279 
帜	14102	7.42866 	99.43353 
鄂	14061	7.40707 	99.43427 
搐	14053	7.40285 	99.43501 
蔼	14033	7.39232 	99.43575 
怦	14012	7.38125 	99.43649 
穗	13995	7.37230 	99.43723 
亩	13986	7.36756 	99.43796 
撰	13976	7.36229 	99.43870 
绎	13969	7.35860 	99.43944 
牟	13962	7.35491 	99.44017 
咨	13954	7.35070 	99.44091 
奄	13947	7.34701 	99.44164 
梓	13927	7.33648 	99.44238 
绚	13848	7.29486 	99.44311 
阀	13821	7.28064 	99.44383 
烘	13793	7.26589 	99.44456 
炙	13778	7.25799 	99.44529 
翎	13767	7.25219 	99.44601 
惋	13737	7.23639 	99.44673 
驯	13729	7.23217 	99.44746 
栩	13693	7.21321 	99.44818 
逾	13686	7.20952 	99.44890 
墟	13672	7.20215 	99.44962 
鬟	13671	7.20162 	99.45034 
茬	13642	7.18634 	99.45106 
褪	13537	7.13103 	99.45177 
鑫	13522	7.12313 	99.45248 
骸	13516	7.11997 	99.45320 
峭	13505	7.11418 	99.45391 
缅	13481	7.10153 	99.45462 
灶	13458	7.08942 	99.45533 
洽	13409	7.06360 	99.45603 
祯	13395	7.05623 	99.45674 
暄	13336	7.02515 	99.45744 
裔	13332	7.02304 	99.45814 
韶	13303	7.00777 	99.45884 
缎	13277	6.99407 	99.45954 
砚	13267	6.98880 	99.46024 
锥	13235	6.97194 	99.46094 
辙	13190	6.94824 	99.46164 
惦	13189	6.94771 	99.46233 
铛	13183	6.94455 	99.46302 
枣	13173	6.93928 	99.46372 
桦	13149	6.92664 	99.46441 
邃	13142	6.92295 	99.46510 
橱	13139	6.92137 	99.46580 
搔	13130	6.91663 	99.46649 
腑	13129	6.91611 	99.46718 
萤	13116	6.90926 	99.46787 
枢	13115	6.90873 	99.46856 
遏	13099	6.90030 	99.46925 
募	13095	6.89820 	99.46994 
憬	13093	6.89714 	99.47063 
庵	13087	6.89398 	99.47132 
叼	13048	6.87344 	99.47201 
嫖	13042	6.87028 	99.47269 
苛	13000	6.84815 	99.47338 
锣	12995	6.84552 	99.47406 
蹑	12942	6.81760 	99.47474 
拌	12927	6.80970 	99.47543 
奠	12902	6.79653 	99.47611 
秽	12887	6.78862 	99.47678 
殴	12875	6.78230 	99.47746 
喋	12871	6.78020 	99.47814 
糙	12840	6.76387 	99.47882 
貂	12832	6.75965 	99.47949 
揖	12821	6.75386 	99.48017 
葵	12818	6.75228 	99.48084 
榆	12802	6.74385 	99.48152 
颐	12797	6.74121 	99.48219 
皂	12776	6.73015 	99.48287 
眈	12773	6.72857 	99.48354 
扼	12762	6.72278 	99.48421 
眺	12749	6.71593 	99.48488 
孜	12741	6.71171 	99.48555 
簌	12731	6.70645 	99.48622 
玺	12725	6.70329 	99.48689 
偌	12710	6.69538 	99.48756 
蹿	12631	6.65377 	99.48823 
蓓	12618	6.64692 	99.48889 
弛	12591	6.63270 	99.48956 
庇	12566	6.61953 	99.49022 
檀	12516	6.59319 	99.49088 
枭	12512	6.59108 	99.49154 
螂	12502	6.58581 	99.49220 
趾	12471	6.56948 	99.49285 
崭	12461	6.56422 	99.49351 
妲	12460	6.56369 	99.49417 
掂	12450	6.55842 	99.49482 
醇	12444	6.55526 	99.49548 
掺	12439	6.55263 	99.49613 
驿	12436	6.55105 	99.49679 
槽	12412	6.53840 	99.49744 
惬	12404	6.53419 	99.49809 
镰	12380	6.52155 	99.49875 
抡	12347	6.50416 	99.49940 
憧	12337	6.49890 	99.50005 
删	12335	6.49784 	99.50070 
鸳	12321	6.49047 	99.50135 
酣	12314	6.48678 	99.50199 
宦	12302	6.48046 	99.50264 
筐	12286	6.47203 	99.50329 
琅	12283	6.47045 	99.50394 
瞻	12261	6.45886 	99.50458 
焱	12242	6.44885 	99.50523 
飙	12231	6.44306 	99.50587 
湃	12221	6.43779 	99.50652 
俨	12202	6.42778 	99.50716 
跷	12194	6.42357 	99.50780 
栅	12177	6.41461 	99.50844 
撅	12167	6.40934 	99.50908 
煽	12159	6.40513 	99.50972 
呱	12127	6.38827 	99.51036 
缰	12118	6.38353 	99.51100 
猝	12077	6.36193 	99.51164 
衮	12074	6.36035 	99.51227 
肴	12069	6.35772 	99.51291 
殆	12048	6.34666 	99.51354 
谴	12039	6.34191 	99.51418 
蔬	12038	6.34139 	99.51481 
飒	12008	6.32558 	99.51544 
婧	11970	6.30557 	99.51607 
阐	11957	6.29872 	99.51670 
荧	11955	6.29766 	99.51733 
侈	11948	6.29398 	99.51796 
霏	11940	6.28976 	99.51859 
瘟	11924	6.28133 	99.51922 
芜	11922	6.28028 	99.51985 
俭	11871	6.25342 	99.52047 
崎	11863	6.24920 	99.52110 
亥	11845	6.23972 	99.52172 
俐	11827	6.23024 	99.52235 
屿	11826	6.22971 	99.52297 
譬	11807	6.21970 	99.52359 
饺	11790	6.21075 	99.52421 
垄	11782	6.20653 	99.52483 
畴	11750	6.18967 	99.52545 
杠	11743	6.18599 	99.52607 
鬓	11728	6.17809 	99.52669 
讼	11726	6.17703 	99.52731 
晏	11688	6.15701 	99.52792 
弈	11679	6.15227 	99.52854 
鞍	11579	6.09960 	99.52915 
瘸	11577	6.09854 	99.52976 
钮	11556	6.08748 	99.53037 
珏	11522	6.06957 	99.53097 
钰	11516	6.06641 	99.53158 
傀	11508	6.06219 	99.53219 
噔	11503	6.05956 	99.53279 
驭	11486	6.05060 	99.53340 
靶	11461	6.03744 	99.53400 
萦	11437	6.02479 	99.53460 
韬	11434	6.02321 	99.53520 
恙	11433	6.02269 	99.53581 
懿	11429	6.02058 	99.53641 
竺	11419	6.01531 	99.53701 
吝	11418	6.01478 	99.53761 
羁	11396	6.00319 	99.53821 
荀	11378	5.99371 	99.53881 
癫	11357	5.98265 	99.53941 
嘭	11327	5.96685 	99.54001 
菇	11316	5.96105 	99.54060 
恃	11258	5.93050 	99.54120 
瘪	11246	5.92418 	99.54179 
儡	11246	5.92418 	99.54238 
踌	11238	5.91996 	99.54297 
呦	11228	5.91470 	99.54356 
榕	11223	5.91206 	99.54416 
昵	11208	5.90416 	99.54475 
躇	11200	5.89995 	99.54534 
烬	11199	5.89942 	99.54593 
啰	11175	5.88678 	99.54651 
酌	11174	5.88625 	99.54710 
丙	11170	5.88414 	99.54769 
涎	11149	5.87308 	99.54828 
